film_title,brand,box_office_revenue,opening_revenue,release_date,opening_revenue_over_total_revenue,imdb_score,rt_critics_score,rt_audience_score
Onward,Pixar,61555145.0,39119861.0,3/6/2020,64,7.4,88,95
The Marvels,Marvel,84500223.0,46110859.0,11/10/2023,55,5.6,62,82
Ant-Man and the Wasp: Quantumania,Marvel,214504909.0,106109650.0,2/17/2023,50,6.5,47,82
Doctor Strange in the Multiverse of Madness,Marvel,411331607.0,187420998.0,5/6/2022,46,7.0,74,85
Captain America: Civil War,Marvel,408084349.0,179139142.0,5/6/2016,44,7.8,90,89
Black Widow,Marvel,183651655.0,80366312.0,7/9/2021,44,6.7,79,91
Eternals,Marvel,164870234.0,71297219.0,11/5/2021,43,6.3,47,77
Lightyear,Pixar,118307188.0,50577961.0,6/17/2022,43,6.1,74,84
Iron Man 3,Marvel,409013994.0,174144585.0,5/3/2013,43,7.1,79,78
Thor: Love and Thunder,Marvel,343256830.0,144165107.0,7/8/2022,42,6.7,65,76
Avengers: Age of Ultron,Marvel,459005868.0,191271109.0,5/1/2015,42,7.3,76,82
Avengers: Endgame,Marvel,858373000.0,357115007.0,4/26/2019,42,8.4,94,90
Thor: The Dark World,Marvel,206362140.0,85737841.0,11/8/2013,42,6.8,66,75
Iron Man 2,Marvel,312433331.0,128122480.0,5/7/2010,41,7.0,72,71
Dumbo,Disney Live Action Remake,114766307.0,45990748.0,3/29/2019,40,6.3,46,48
Black Panther: Wakanda Forever,Marvel,453829060.0,181339761.0,11/11/2022,40,7.2,84,94
Solo: A Star Wars Story,Lucasfilm,213767512.0,84420489.0,5/25/2018,40,6.9,69,63
Thor: Ragnarok,Marvel,315058289.0,122744989.0,11/3/2017,39,7.9,93,87
Avengers: Infinity War,Marvel,678815482.0,257698183.0,4/27/2018,38,8.4,85,92
Guardians of the Galaxy Vol. 2,Marvel,389813101.0,146510104.0,5/5/2017,38,7.6,85,87
Captain America: The First Avenger,Marvel,176654505.0,65058524.0,7/22/2011,37,6.9,80,75
Captain America: The Winter Soldier,Marvel,259766572.0,95023721.0,4/4/2014,37,7.7,90,92
Doctor Strange,Marvel,232641920.0,85058311.0,11/4/2016,37,7.5,89,86
